Title,Authors,Subjects,Abstract,PDF
Ultra-Planckian Quark and Gluon Scattering in Agravity,"I. F. Cunha,A. C. Lehum",High Energy Physics - Theory (hep-th); General Relativity and Quantum Cosmology (gr-qc),"We investigate tree-level scattering processes involving quarks and gluons mediated by graviton exchange in the framework of Agravity, a dimensionless and renormalizable theory of quadratic quantum gravity. Focusing on the ultra-Planckian regime, we compute the squared amplitudes and analyze the differential cross sections for the processes $gg \rightarrow gg$, $gg \rightarrow q\bar{q}$, $gq \rightarrow gq$, and $qq \rightarrow qq$. We demonstrate that all amplitudes scale as $1/s$ at high energies, in agreement with expectations for a UV-complete theory of gravity. In addition, we explore the issue of unitarity in the presence of higher-derivative ghost modes by analyzing the positivity properties of the squared amplitudes. While IR divergences appear in the forward scattering of massless particles, we show that these are regularized by finite quark masses. Our findings support the viability of Agravity as a perturbatively unitary and UV-complete extension of general relativity, capable of consistently describing gravitational interactions among elementary matter fields at trans-Planckian energies.",https://arxiv.org/pdf/2505.19957
Estimating the binary neutron star merger rate density evolution with Einstein Telescope,"Neha Singh,Tomasz Bulik,Aleksandra Olejak",High Energy Astrophysical Phenomena (astro-ph.HE); General Relativity and Quantum Cosmology (gr-qc),"The Einstein Telescope (ET) is a proposed third-generation, wide-band gravitational wave (GW) detector which will have an improved detection sensitivity in low frequencies, leading to a longer observation time in the detection band and higher detection rate for binary neutron stars (BNSs). Despite the fact that ET will have a higher detection rate, a large fraction of BNSs will remain undetectable. We present a scheme to estimate accurate detection efficiency and to reconstruct the true merger rate density of the population of the BNSs, as a function of redshift. We show that with ET as a single instrumnet, for a population of BNSs with $R_{mer} \sim 100 (300)$ $\rm Gpc^{-3} yr^{-1}$ at $z\sim 0(2)$, we can reconstruct the merger rate density uptil $z \sim 2$ , with a relative error of $12\%$ at ($z \sim 2$), despite the loss in detection of the bulk of the BNS population.",https://arxiv.org/pdf/2505.19962
Area-charge inequality and local rigidity in charged initial data sets,Abraão Mendes,Differential Geometry (math.DG); General Relativity and Quantum Cosmology (gr-qc),"This paper investigates the geometric consequences of equality in area-charge inequalities for spherical minimal surfaces and, more generally, for marginally outer trapped surfaces (MOTS), within the framework of the Einstein-Maxwell equations. We show that, under appropriate energy and curvature conditions, saturation of the inequality $\mathcal{A} \geq 4\pi(\mathcal{Q}_{\rm E}^2 + \mathcal{Q}_{\rm M}^2)$ imposes a rigid geometric structure in a neighborhood of the surface. In particular, the electric and magnetic fields must be normal to the foliation, and the local geometry is isometric to a Riemannian product. We establish two main rigidity theorems: one in the time-symmetric case and another for initial data sets that are not necessarily time-symmetric. In both cases, equality in the area-charge bound leads to a precise characterization of the intrinsic and extrinsic geometry of the initial data near the critical surface.",https://arxiv.org/pdf/2505.20060
Notes on Rindler wave packets in Minkowski spacetime,"Shono Shibuya,Sotaro Sugishita",High Energy Physics - Theory (hep-th); General Relativity and Quantum Cosmology (gr-qc),"We consider wave packets of a massless scalar field that have well-localized Rindler energy, and examine how their energy appears to a Minkowski observer to see how the classical gravitational blue-shift formula is modified quantum mechanically. We derive, by using the saddle point approximation, an analytic expression for the Minkowski momentum distribution of such Rindler wave packets. We find a universal lower bound on the uncertainty of Minkowski momentum; the momentum distribution can never become arbitrarily sharp.",https://arxiv.org/pdf/2505.20078
Kira 3: integral reduction with efficient seeding and optimized equation selection,"Fabian Lange,Johann Usovitsch,Zihao Wu",High Energy Physics - Phenomenology (hep-ph); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Theory (hep-th),"We present version 3 of Kira, a Feynman integral reduction program for high-precision calculations in quantum field theory and gravitational-wave physics. Building on previous versions, Kira 3 introduces optimized seeding and equation selection algorithms, significantly improving performance for multi-loop and multi-scale problems. New features include convenient numerical sampling, symbolic integration-by-parts reductions, and support for user-defined additional relations. We demonstrate its capabilities through benchmarks on two- and three-loop topologies, showcasing up to two orders of magnitude improvement over Kira 2.3. Kira 3 is publicly available and poised to support ambitious projects in particle physics and beyond.",https://arxiv.org/pdf/2505.20197
First-order hyperbolic formulation of the pure tetrad teleparallel gravity theory,"Ilya Peshkov,Héctor Olivares,Evgeniy Romenski",General Relativity and Quantum Cosmology (gr-qc),"Driven by the need for numerical solutions to the Einstein field equations,we derive a first-order reduction of the second-order $ f(T) $-teleparallelgravity equations in the pure-tetrad formulation (no spin connection). Wethen restrict our attention to the teleparallel equivalent of generalrelativity (TEGR) and propose a 3+1 decomposition of these equationssuitable for computational implementation. We demonstrate that in vacuum(matter-free spacetime) the obtained system of first-order equations isequivalent to the tetrad reformulation of general relativity by Estabrook,Robinson, Wahlquist, and Buchman and Bardeen, and therefore also admits asymmetric hyperbolic formulation. However, the question of hyperbolicity ofthe 3+1 TEGR equations for arbitrary spacetimes remains unaddressed so far.Furthermore, the structure of the 3+1 equations resembles a lot ofsimilarities with the equations of relativistic electrodynamics and therecently proposed dGREM tetrad-reformulation of general relativity.",https://arxiv.org/pdf/2211.13659
Modified Kerr black holes surrounded by dark matter spike,"Salvatore Capozziello,Soroush Zare,Luis M. Nieto,Hassan Hassanabadi",General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Phenomenology (hep-ph),"We study supermassive black holes (SMBH), surrounded by a dark matter (DM) spike, that can be found at the centers of Milky Way and $\text{M87}$ galaxies and are accompanied by a specific kind of topological defect. The investigation is developed within the framework of Bumblebee Gravity with a global monopole (BGGM). The dark matter spike is described by a power-law density profile. Our main objective is to assess how the background arising from spontaneous Lorentz symmetry breaking and the presence of a global monopole influence the properties of the Kerr BH within the region affected by the spike. Using a spherically symmetric static BH with BGGM properties as the seed metric, we construct a non-rotating spacetime with a DM spike, resulting in a BGGM-motivated Schwarzschild-like BH by solving the modified Tolman-Oppenheimer-Volkoff equations (TOV). Next, we extend this approach to the case of a rotating spacetime resulting in the BGGM-motivated Kerr-like BH (BGMKLBH). This approach allows us to explore the spacetime structure, and the BGMKLBH shadows. Then, using available observational data for the DM spike density and considering the effects of BGGM on $\text{Sgr A}^{*}$ and $\text{M87}^{*}$ SMBHs, we analyse the shapes of their shadows and put constraints on the BGGM parameter. Thus, we infer that the BGMKLBHs could be reliable candidates for the astrophysical BHs.",https://arxiv.org/pdf/2311.12896
On the past maximal development of near-FLRW data for the Einstein scalar-field Vlasov system,"David Fajman,Liam Urban",General Relativity and Quantum Cosmology (gr-qc); Mathematical Physics (math-ph); Analysis of PDEs (math.AP),"We show that the maximal globally hyperbolic development of near-FLRW initial data for the Einstein scalar-field Vlasov system exhibits stable Big Bang formation in the collapsing direction. The solutions exhibit stable Kretschmann scalar blow-up, causing the spacetime to become causally geodesically past incomplete, and are asymptotically velocity term dominated. This is the first stability result for the Einstein equations in the collapsing spacetime direction in presence of Vlasov matter that does not rely on any symmetry assumptions. Furthermore, the Vlasov distribution remains close to that of the FLRW solution as a function on the co-mass shell, and so does its momentum support if one assumes it to be close to that of the FLRW distribution initially. On the other hand, the leading order terms in components of the Vlasov energy-momentum tensor exbihit an offset in asymptotic order controlled by the perturbation size, and when viewed on the mass shell, the distribution asymptotically concentrates in certain preferred velocity directions. To ensure that this behaviour is sufficiently mitigated by the scalar field, we crucially exploit a scaling hierarchy between horizontal and vertical derivatives in the commuted Vlasov equation.",https://arxiv.org/pdf/2402.08544
Gravitational-wave effects in the most general vector-tensor theory,"Yu-Qi Dong,Xiao-Bin Lai,Yu-Qiang Liu,Yu-Xiao Liu",General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Theory (hep-th),"In this paper, we establish a model-independent framework based on the Isaacson picture to analyze the gravitational-wave effects in the most general vector-tensor theory that yields second-order field equations. Within this framework, we derive two basic sets of equations for the Isaacson picture. These equations enable the analysis of gravitational wave polarization modes, the dispersion relation of each mode, the effective energy-momentum tensor of gravitational waves, and the memory effects. These features are closely tied to observable phenomena and have attracted considerable attention. They are expected to be detected by the next generation of gravitational wave observatories designed to test potential modifications to general relativity. Using this framework, we present the explicit expression for the effective energy-momentum tensor of gravitational waves in the most general second-order vector-tensor theory and perform a complete analysis of their polarization modes.",https://arxiv.org/pdf/2409.11838
Search for continuous gravitational waves from unknown neutron stars in binary systems with long orbital periods in O3 data,"P. B. Covas,M. A. Papa,R. Prix",General Relativity and Quantum Cosmology (gr-qc),"Gravitational waves emitted by asymmetric rotating neutron stars are the primary targets of continuous gravitational-wave searches. Neutron stars in binary systems are particularly interesting due to the potential for non-axisymmetric deformations induced by a companion star. However, all-sky searches for unknown neutron stars in binary systems are very computationally expensive and this limits their sensitivity and/or breadth. In this paper we present results of a search for signals with gravitational-wave frequencies between $50$ and $150$~Hz, from systems with orbital periods between $100$ and $1\,000$ days and projected semi-major axes between $40$ and $200$~light-seconds. This parameter-space region has never been directly searched before. We do not detect any signal, and our results exclude gravitational-wave amplitudes above $1.25 \times 10^{-25}$ at $144.32$~Hz with $95\%$ confidence. Our improved search pipeline is more sensitive than any previous all-sky binary search by about $75\%$.",https://arxiv.org/pdf/2409.16196
Cosmology of Quasi-Dilaton Massive Gravity with Non-minimal Kinetic Coupling,"Sobhan Kazempour,Amin Rezaei Akbarieh,Sichun Sun,Chengye Yu",General Relativity and Quantum Cosmology (gr-qc); Cosmology and Nongalactic Astrophysics (astro-ph.CO); High Energy Physics - Phenomenology (hep-ph),"In this study, we introduce an extension of the quasi-dilaton massive gravity theory and derive the field equations by varying the action with respect to the metric. This extension elucidates the dynamics of the system and demonstrates how it can encompass and recover previous cosmological models through different parameter values. We present the cosmological background equations to analyze self-accelerating solutions that can explain the late-time accelerated expansion of the Universe, driven by an effective cosmological constant arising from massive gravity. Besides, we apply the quasi-dilaton massive gravity theory with non-minimal kinetic coupling to a Type Ia Supernovae (SNIa) data set to test its viability. Our findings indicate that the theory is able to account for the observed acceleration of the expansion of the universe without invoking dark energy. In addition, we carry out a comprehensive perturbation analysis examining tensor, vector, and scalar perturbations independently. We derive the dispersion relation of gravitational waves in a Friedman-Lemaitre-Robertson-Walker (FLRW) cosmology and determine the stability conditions of the system. Such an analysis results in a sharper quasi-dilaton massive gravity theory with non-minimal kinetic coupling by ensuring the stability conditions of the system are maintained and that strong constraints on theory parameters are provided.",https://arxiv.org/pdf/2410.17915
Screen chaotic motion by Shannon entropy in curved spacetimes,"Wenfu Cao,Yang Huang,Hongsheng Zhang",General Relativity and Quantum Cosmology (gr-qc),"We find a novel characteristic for chaotic motion by introducing Shannon entropy for periodic orbits, quasiperiodic orbits, and chaoticthis http URLcompare our approach with the previous methods including Poincaré Section, Lyapunov exponent, Fast Lyapunov Indicator, Recurrence plots(Rps), and Fast Fourier Transform(FFT) for orbits around black hole immersed in magnetic fields, and show that they agree with each other quite well. The approach of Shannon entropy is intuitively clear, and theoretically reasonable since it becomes larger and larger form a periodic orbit to chaotic orbit. We demonstrate that Shannon entropy can be a powerful probe to distinguish between chaotic and regular orbits in different spacetimes, and reversely may lead to a new road to define the entropy for a single orbit in phase space, and to find more fundamental relations between thermodynamics and dynamics.",https://arxiv.org/pdf/2410.20870
Elementary considerations on possible entropy-driven cosmological evolutions,"Jamy-Jayme Thézier,Aurélien Barrau,Killian Martineau",General Relativity and Quantum Cosmology (gr-qc); Cosmology and Nongalactic Astrophysics (astro-ph.CO); High Energy Physics - Phenomenology (hep-ph),"For several independent reasons, the idea that notorious sources of entropy could exist in the Universe has been recently revived. Taking advantage of a new framework accounting for non-equilibrium processes in cosmology, we explicitly investigate the cosmological dynamics as a function of the entropy production, focusing on the stability of the system. An exhaustive investigation is performed. As the main physical conclusion, we show that for a wide class of entropy source terms, the fluid dynamics converges towards an effective cosmological constant. Constraints on the associated entropic force are also obtained.",https://arxiv.org/pdf/2501.15146
Primordial black holes as cosmic expansion accelerators,"Konstantinos Dialektopoulos,Theodoros Papanikolaou,Vasilios Zarikas",General Relativity and Quantum Cosmology (gr-qc); Cosmology and Nongalactic Astrophysics (astro-ph.CO); High Energy Physics - Phenomenology (hep-ph),"We propose a novel and natural mechanism for cosmic acceleration driven by primordial black holes (PBHs) exhibiting repulsive behavior. Using a new ``Swiss Cheese'' cosmological approach, we demonstrate that this cosmic acceleration mechanism is a general phenomenon by examining three regular black hole spacetimes - namely the Hayward, Bardeen and Dymnikova spacetimes - as well as the singular de Sitter-Schwarzschild spacetime. Interestingly, by matching these black hole spacetimes with an isotropic and homogeneous expanding Universe, we obtain a phase of cosmic acceleration that ends at an energy scale characteristic to the black hole parameters or due to black hole evaporation. This cosmic acceleration mechanism can be relevant either to an inflationary phase with a graceful exit and reheating or to an early dark energy type of contribution pertinent to the Hubble tension. Remarkably, we find that ultra-light PBHs with masses $m<5\times 10^8\mathrm{g}$ dominating the energy content of the Univese before Big Bang Nucleosynthesis, can drive a successful inflationary expansion era without the use of an inflaton field. Additionally, PBHs with masses $m \sim 10^{12}\mathrm{g}$ and abundances $0.107 < \Omega^\mathrm{eq}_\mathrm{PBH}< 0.5$, slightly before matter-radiation equality, can produce a substantial amount of early dark energy, helping to alleviate the $H_0$ tension.",https://arxiv.org/pdf/2502.18352
On the cosmological degrees of freedom of Proca field with non-minimal coupling to gravity,"Antonio De Felice,Anamaria Hell",General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Theory (hep-th),"We study Proca theory with non-minimal coupling to gravity through the Ricci tensor and Ricci scalar interactions. We show that in the homogeneous and isotropic Universe together with cosmological constant, the temporal component of the vector field acquires a background value. As a result, we show that the theory propagates an additional degree of freedom, with respect to the generalized Proca theories, whose kinetic term suggests the presence of several strong coupling regimes that depend on the value of the background solution, the combination and vanishing of coupling constants, together with a scale-dependent one. We show in addition, that the speed of propagation for this mode vanishes, indicating the presence of another type of strong coupling. To further investigate this, we extend our analysis to the Bianchi Type I Universe, with the most general solution for the vector field. We show that the extra degree of freedom remains in the theory. Among the modes, we further show that the mode with vanishing speed of propagation is still present, pointing to the strong coupling. In addition, we discover a mode with scale-dependent strong coupling (vanishing kinetic term), one mode that propagates only in one single direction and two unstable modes.",https://arxiv.org/pdf/2503.07454
Pseudospectrum of rotating analog black holes,"Lucas Tobias de Paula,Pedro Henrique Croti Siqueira,Rodrigo Panosso Macedo,Maurício Richartz",General Relativity and Quantum Cosmology (gr-qc),"Analyzing the stability of quasinormal modes (QNM) is essential for understanding black hole dynamics, particularly in the context of gravitational wave emissions and black hole spectroscopy. In this study, we employ the hyperboloidal approach to reformulate the quasinormal mode problem of a rotating analog black hole, effectively transforming it into an eigenvalue problem associated with a nonself-adjoint operator. Using this method, we examine the influence of rotation on the stability of the QNM spectrum, relying on the associated pseudospectrum for qualitative assessment. Our findings indicate that the prograde overtones become more stable as rotation increases. This work enhances our understanding of spectrum stability in rotating systems and expands the study of pseudospectra in non-spherically symmetric spacetimes, with potential for empirical testing in terrestrial laboratories.",https://arxiv.org/pdf/2504.00106
Quantum maximally symmetric space-times,"Pedro Meert,Andrea Giusti,Roberto Casadio",General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Theory (hep-th),"We show that 4-dimensional maximally symmetric spacetimes can be obtained from a coherent state quantisation of gravity, always resulting in geometries that approach the Minkowski vacuum exponentially away from the radius of curvature. A possible connection with the central charge in the AdS/CFT correspondence is also noted.",https://arxiv.org/pdf/2504.02786
Consistency relations between multimessenger and large scale structure observations,Antonio Enea Romano,General Relativity and Quantum Cosmology (gr-qc); Cosmology and Nongalactic Astrophysics (astro-ph.CO),"The effective field theory (EFT) of dark energy provides a unified model independent theoretical framework to study the effects of dark energy and modified gravity. We show that applying the EFT to Horndeski theories it is possible to derive consistency relations (CR) between physically observable quantities, valid for different classes of theories defined by the brading parameter behavior, while leaving the other property functions free. As expected, the CRs are also valid for general relativity, and relate the effective gravitational constant, the slip parameter, the gravitational and electromagnetic luminosity distances and the speed of gravitational waves (GW). We apply the CRs to map the large scale structure observational constraints on the effective gravitational constant and the slip parameter to GW-EMW distance ratio constraints. The CRs allow to probe the value of the effective gravitational constant and the slip parameter with multimessenger observations, independently from large scale structure observations.",https://arxiv.org/pdf/2504.04574
