Heading,Title,Authors,Subjects,Abstract,PDF
New submissions,Gödel-type universes in unimodular gravity,"R. Raimarda,A. F. Santos,R. Bufalo",General Relativity and Quantum Cosmology (gr-qc),"In this paper, the Gödel-type universes are examined within the framework of unimodular gravity. Since the existence of Gödel solutions is intrinsically related to the presence of a cosmological constant in general relativity, one can naturally wonder how the acausal structure of the Gödel solutions behaves in different cosmological scenarios. One of the simplest, but important, frameworks within this context is the unimodular gravity, in which the cosmological constant emerges as an integration constant rather than a coupling constant. Hence, the validity of Gödel-type solutions is scrutinized within the unimodular approach, examining whether this theory can address the known issue of causality violation in Gödel universes. In detail, it is demonstrated that for certain gravitational sources, both causal and non-causal regions are permissible.",
New submissions,Phase space and Data analyses of a non-minimally coupled scalar field system with decaying dark energy model,"Yerlan Myrzakulov,Saddam Hussain,M. Shahalam",General Relativity and Quantum Cosmology (gr-qc); Cosmology and Nongalactic Astrophysics (astro-ph.CO),"We investigate a class of scalar field dark energy models non-minimally coupled to gravity, characterized by a double exponential potential and parameterized coupling {\xi}. First, we study the cosmological dynamics for a recently proposed Q-SC-CDM model. Initially, we choose two distinct values of {\xi}: 0.1 and 0.5. In case of {\xi}=0.1, the evolution of the universe is split up into three different phases: deceleration, acceleration and slow-contraction, and provide Big Crunch Singularity at distant future. However, in case of {\xi}=0.5, the phase of slow-contraction vanishes, correspondingly Big Crunch Singularity is redundant. Second, we perform the phase space analysis for Q-SC-CDM, bring new asymptotic regimes and find stable de-Sitter solution. Finally, fixing {\xi} to two representative values: {\xi} = 0.1 and 0.05, we perform a comprehensive Bayesian analysis using recent late-time cosmological observations, including Cosmic Chronometers (CC), Type Ia Supernovae (Pantheon+ and DES-SN5YR), and Baryon Acoustic Oscillation (DESI DR2) data. Our results demonstrate that both models yield constraints on key cosmological parameters \Omega_{0m}, H_0 and the sound horizon r_d that are consistent with {\Lambda}CDM within 68\% confidence level, yet exhibit mild tension with Pantheon+ measurements. We analyze the evolution of the effective equation of state, showing that the model transitions from a stiff matter phase at high redshift to a dark energy dominated phase with effective equation of state less than -0.5 at late times. Additionally, we employ the Om(z) diagnostic to distinguish our model from {\Lambda}CDM, finding minimal deviation up to redshift z \sim 2. Statistical model comparison using Akaike (AIC) and Bayesian (BIC) Information Criteria reveals moderate support for the model with {\xi} = 0.1, though {\Lambda}CDM remains statistically preferred.",
New submissions,Binary systems as gravitational wave detectors,"Diego Blas,Adrien Bourgoin,Joshua F. Foster,Aurelien Hees,Miriam Herrero-Valea,Alexander C. Jenkins,Xiao Xue",General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Phenomenology (hep-ph),"``Adding colour'' to the gravitational-wave sky by probing unexplored frequency bands has the potential to unveil new and unexpected phenomena in the Universe. In these proceedings, we summarise current efforts to probe gravitational waves with $\mu$Hz frequencies through their resonant impact on binary systems. We also discuss how these binaries can explore uncharted regions of parameter space in the hunt for dark matter.",
New submissions,No dynamical CPT symmetry restoration in quantum gravity,"Astrid Eichhorn,Marc Schiffer",General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Theory (hep-th),"CPT symmetry is at the heart of the Standard Model of particle physics and experimentally very well tested, but expected to be broken in some approaches to quantum gravity. It thus becomes pertinent to explore which of the two alternatives is realized: (i) CPT symmetry is emergent, so that it is restored in the low-energy theory, even if it is broken beyond the Planck scale, (ii) CPT symmetry cannot be emergent and must be fundamental, so that any approach to quantum gravity, in which CPT is broken, is ruled out. We explore this by calculating the Renormalization Group flow of CPT violating interactions under the impact of quantum fluctuations of the metric. We find that CPT symmetry cannot be emergent and conclude that quantum-gravity approaches must avoid the breaking of CPT symmetry. As a specific example, we discover that in asymptotically safe quantum gravity CPT symmetry remains intact, if it is imposed as a fundamental symmetry, but it is badly broken at low energies if a tiny amount of CPT violation is present in the transplanckian regime.",
Cross submissions,The building blocks of asymptotically flat spacetimes,Shadi Ali Ahmad,High Energy Physics - Theory (hep-th); General Relativity and Quantum Cosmology (gr-qc),"The classification of all possible induced representations arising from theories admitting a Poincaré symmetry has molded our very conception of particles in flat space. In this note, we argue that if one takes the same viewpoint on the asymptotic symmetry group instead of the global one, the familiar relativistic classification is enhanced to provide a new notion of excitations in asymptotically flat spacetimes. These excitations blur the line between the quantum description of a particle and a spacetime geometry, and will appear in any theory with the same symmetry. By interacting together, they produce both the geometry of and propagating particles in spacetime.",
Cross submissions,Large-Scale-Structure Observables in General Relativity Validated at Second Order,"Antoine Villey,Yonadav Barry Ginat,Vincent Desjacques,Donghui Jeong,Fabian Schmidt",Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc),"We present a second-order calculation of relativistic large-scale-structure observables in cosmological perturbation theory, specifically the ""cosmic rulers and clock"", which are the building-blocks of any other large-scale-structure observable, including galaxy number counts, on large scales. We calculate the scalar rulers (longitudinal perturbation and magnification) and the cosmic clock to second order, using a fully non-linear covariant definition of the observables. We validate our formulae on three non-trivial space-time metrics: two of them are null tests on metrics which are obtained by applying a gauge transformation to the background space-time, while the third is the ""separate universe"" curved background, for which we can also compute the observables exactly. We then illustrate the results by evaluating the second-order observables in a simplified symmetric setup. On large scales, they are suppressed over the linear contributions by $\sim 10^{-4}$, while they become comparable to the linear contributions on mildly non-linear scales. The results of this paper form a significant (and the most complicated) part of the relativistic galaxy number density at second order.",
Cross submissions,Merger History of Clustered Primordial Black Holes,Viktor Stasenko,Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc),"Primordial black hole (PBH) binaries experience strong gravitational perturbations in the case of their initial clustering, which significantly affects the dynamics of their mergers. In this work, we develop a new formalism to account for these perturbations and track the evolution of the binary orbital parameters distribution. Based on this approach, we calculate the merger rate of PBH binaries and demonstrate that its temporal evolution differs greatly from that of isolated binary systems. Moreover, PBH clustering produces distinctive features in the stochastic gravitational-wave background: the canonical $2/3$ spectral slope transforms to $\Omega_{\rm gw} \propto \nu^{-65/28}$ in a certain frequency band. These predictions can be probed in future gravitational wave observations, opening up new opportunities to test the clustering of PBHs and their contribution to dark matter.",
Cross submissions,Geometric Cosmology models: statistical analysis with observational data,"Matías Leizerovich,Luisa G. Jaime,Susana J. Landau,Gustavo Arciniega",Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc),"Although the standard cosmological model is capable of explaining most current observational data, it faces some theoretical and observational issues. This is the main motivation for exploring alternative cosmological models. In this paper, we focus on a novel proposal that consists in adding an infinite tower of higher-order curvature invariants to the usual Einstein-Hilbert action. We obtain the late-time background evolution for three families of models that can be obtained from this proposal. We use recent data from Cosmic Chronometers and type Ia supernovae to test the late-time predictions of our models. In addition, we consider estimations from the Age of the Older Globular Clusters to constrain our models. While some of the studied cases are ruled out by the data, we show that there are particular cases of the GILA model that can explain current data.",
Cross submissions,Asymptotics and Scattering for Critically Weakly Hyperbolic and Singular Systems,"Bolys Sabitbek,Arick Shao",Analysis of PDEs (math.AP); General Relativity and Quantum Cosmology (gr-qc),"We study a very general class of first-order linear hyperbolic systems that both become weakly hyperbolic and contain lower-order coefficients that blow up at a single time $t = 0$. In ""critical"" weakly hyperbolic settings, it is well-known that solutions lose a finite amount of regularity at the degenerate time $t = 0$. In this paper, we both improve upon the results in the weakly hyperbolic setting, and we extend this analysis to systems containing critically singular coefficients, which may also exhibit significantly modified asymptotics at $t = 0$.In particular, we give precise quantifications for (1) the asymptotics of solutions as $t$ approaches $0$; (2) the scattering problem of solving the system with asymptotic data at $t = 0$; and (3) the loss of regularity due to the degeneracies at $t = 0$. Finally, we discuss a variety of applications for these results, including to weakly hyperbolic and singular wave equations, equations of higher order, and equations arising from relativity and cosmology, e.g. at big bang singularities.",
Cross submissions,Addressing the $H_0$ tension through matter with pressure and no early dark energy,"Youri Carloni,Orlando Luongo,Marco Muccino",Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc),"We propose that the Hubble tension arises due to an unaccounted additional component, that behaves as \emph{matter with pressure}. We demonstrate that this fluid remains subdominant compared to both dust and radiation throughout nearly the entire universe expansion history. Specifically, the additional fluid satisfies the Zel'dovic limit with a constant equation of state, $\omega_s > 0$, and a quite small normalized energy density, $\Omega_s$. Accordingly, this component modifies both the sound horizon and the background expansion rate, \emph{acting quite differently from early dark energy models}, without significantly affecting the other cosmological parameters. To show this, we perform a Monte Carlo Markov chain analysis of our model, hereafter dubbed $\Lambda_{\omega_s}$CDM paradigm, using the publicly available \texttt{CLASS} Boltzmann code. Our results confirm the presence of this fluid, with properties that closely resemble those of radiation. We find best-fit values that satisfy $\omega_s \lesssim \omega_\gamma$ and a relative energy density $\Omega_s / \Omega_\gamma = 0.45$, with $\omega_r$ and $\Omega_r$ the equation of state and density of photons, respectively. The effective fluid may be associated with generalized K-essence models or, alternatively, with Proca-type vector fields, albeit we do not exclude \emph{a priori} more exotic possibilities, i.e., dark radiation, axions, and so on. Physical implications of our results are analyzed in detail, indicating a statistical preference for the $\Lambda_{\omega_s}$CDM scenario over the conventional $\Lambda$CDM background.",
Cross submissions,Numerical analysis of quasiperiodic oscillations in the Hartle-Thorne spacetime,"K. Boshkayev,T. Konysbayev,Ye. Kurmanov,M. Muccino,H. Quevedo",High Energy Astrophysical Phenomena (astro-ph.HE); General Relativity and Quantum Cosmology (gr-qc),"We numerically analyze quasiperiodic oscillations (QPOs) using a well-established spacetime model with neutron star sources. Within the framework of general relativity, we present expressions for the fundamental frequencies of test particles in the gravitational field of a slowly rotating and slightly deformed compact object defined by the Hartle-Thorne (HT) metric. Using the Relativistic Precession Model (RPM) formulated by Stella and Morinsk, we examine quasiperiodic oscillation data from eight neutron stars in low-mass X-ray binary systems. Employing Markov Chain Monte Carlo analyses with the Metropolis-Hastings algorithm, we estimate 1-$\sigma$ and 2-$\sigma$ error bars. Finally, we compare our results with predictions from the Schwarzschild, Lense-Thirring, and Kerr metrics, demonstrating that three of the eight sources can be well explained within the Hartle-Thorne model.",
Cross submissions,Reconstruction of dark energy and late-time cosmic expansion using the Weighted Function Regression method,"Alex González-Fuentes,Adrià Gómez-Valent",Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc),"Recent data from multiple supernova catalogs and DESI, when combined with CMB, suggest a non-trivial evolution of dark energy (DE) at the $2.5-4\sigma$ CL. This evidence is typically quantified using the CPL parametrization of the DE equation-of-state parameter which corresponds to a first-order Taylor expansion around $a = 1$. However, this truncation is to some extent arbitrary and may bias our interpretation of the data, potentially leading us to mistake spurious features of the best-fit CPL model for genuine physical properties of DE. In this work, we apply the Weighted Function Regression (WFR) method to eliminate the subjectivity associated with the choice of truncation order. We assign Bayesian weights to the various orders and compute weighted posterior distributions of the quantities of interest. Using this model-agnostic approach, we reconstruct some of the most relevant background quantities, examining the robustness of our results against variations in the CMB and SNIa likelihoods. Furthermore, we extend our analysis by allowing for negative DE. Our results corroborate previous indications of dynamical DE, now confirmed for the first time using the WFR method. The combined analysis of CMB, BAO, and SNIa data favors a DE component that transitions from phantom to quintessence at redshift $z_{\rm cross}\sim 0.4$. The probability of phantom crossing lies between 96.21% and 99.97%, depending on the SNIa data set used, and hence a simple monotonic evolution of the DE density is excluded at the $\sim 2-4\sigma$ CL. Moreover, we find no significant evidence for a negative dark energy density below $z\sim 2.5-3$. Our reconstructions do not address the Hubble tension, yielding values of $H_0$ consistent with the Planck/$\Lambda$CDM range. If SH0ES measurements are not affected by systematic biases, the evidence for dynamical dark energy may need to be reassessed.",
Cross submissions,"Soft Photon, Gluon and Graviton Theorems in (A)dS from Conformal Invariance","Jiajie Mei,Yuyu Mo",High Energy Physics - Theory (hep-th); General Relativity and Quantum Cosmology (gr-qc),"We present new soft theorems for photon, gluon, and graviton correlators at tree level in (Anti)-de Sitter space. The results are derived by applying conformal Ward identities to constrain the structure of Witten diagrams.",
Cross submissions,Superluminal Quantum Reference Frames,"Amrapali Sen,Matthias Salzger,Łukasz Rudnicki",Quantum Physics (quant-ph); General Relativity and Quantum Cosmology (gr-qc),"While particles cannot travel faster than the speed of light, nor can information, this assumption has over the years been frequently questioned. Most recently, it has been argued [New J. Phys. 22, 033038 (2020)] that in a world with superluminal observers local determinism is impossible, linking the two pillars of physics-quantum theory and relativity-suggesting that the latter serves as the foundation for the former. Motivated by this approach, in this work, we extend the framework of quantum reference frames to incorporate superluminal Lorentz transformations. We apply this conceptual result to examine an apparent paradox where particles acquire negative energies after undergoing a superluminal Lorentz boost and propose a resolution within our framework. We also discuss Bell experiments under superluminal quantum reference frame transformations, showing that involved probabilities remain conserved.",
Cross submissions,Ultra-Slow-Roll Inflation on the Lattice II: Nonperturbative Curvature Perturbation,"Angelo Caravano,Gabriele Franciolini,Sébastien Renaux-Petel",Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Theory (hep-th),"Building on the recent lattice simulations of ultra-slow-roll (USR) dynamics presented inarXiv:2410.23942, we investigate the role of the nonlinear relation between the inflaton field configuration and the curvature perturbation $\zeta$, the key observable after inflation. Using a nonperturbative $\delta N$ approach applied to the lattice output, we generate fully nonlinear three-dimensional maps of $\zeta$. This calculation captures both the non-Gaussianity arising from the nonlinear mapping between $\phi$ and $\zeta$, and the intrinsic non-Gaussianity generated around Hubble crossing by the nonlinear field dynamics, which is neglected in stochastic approaches. We find that the nonlinear mapping has a profound impact on the statistics, significantly enhancing the positive tail of the $\zeta$ probability distribution, with important implications for observable quantities. A central part of this work is the comparison with the standard perturbative treatment based on a gauge transformation, which allows us to quantify when and how the perturbative picture breaks down as fluctuations grow large. Together witharXiv:2410.23942, this work sets the basis for robust, nonperturbative predictions of primordial black hole production and scalar-induced gravitational wave emission from inflation using lattice simulations.",
Cross submissions,InflationEasy: A C++ Lattice Code for Inflation,Angelo Caravano,Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Lattice (hep-lat); High Energy Physics - Phenomenology (hep-ph),"InflationEasy is the first lattice code specifically developed for cosmological inflation. It simulates the nonlinear dynamics of a scalar field on a three-dimensional lattice in an expanding FLRW universe, using finite-difference spatial derivatives and a staggered leapfrog integrator for time evolution. Based in part on the well-known LATTICEEASY, it incorporates several improvements tailored to inflationary applications. Among other features, InflationEasy implements a nonperturbative $\delta N$ method to compute the curvature perturbation at the end of inflation $\zeta$ directly from the lattice, enabling fully nonlinear studies of scenarios with large fluctuations or nonperturbative non-Gaussianities. The code supports a broad range of inflationary models, including those relevant for primordial black hole formation, gravitational wave production, and large-scale structure. This makes InflationEasy a versatile and lightweight tool for studying inflationary dynamics beyond the reach of perturbation theory.",
Cross submissions,The Central Emission Vertex of two gravitons,"Damiano Barcaro,Vittorio Del Duca",High Energy Physics - Theory (hep-th); General Relativity and Quantum Cosmology (gr-qc),"It has recently been shown that there exists an $s$-channel sequence of classical corrections to the $H$ diagram computed long ago by Amati, Ciafaloni and Veneziano. At leading logarithmic accuracy, those corrections feature the gravity BFKL kernel as a crucial element, and may be computed through either rapidity renormalisation group equations or amplitudes built through $s$-channel unitarity cuts. In this paper, we evaluate six-graviton amplitudes in next-to-multi-Regge kinematics, and compute for the first time the Central Emission Vertex for the emission of two gravitons, which is relevant to evaluate the corrections to the gravity BFKL kernel, and thus to go beyond the leading logarithmic accuracy.",
Cross submissions,On the Gravitational Origin of the QCD Axion,"Georgios K. Karananas,Mikhail Shaposhnikov,Sebastian Zell",High Energy Physics - Theory (hep-th); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Phenomenology (hep-ph),"Gravity can give rise to (pseudo)scalar fields, for instance due to torsion. In particular, axions of gravitational origin have been proposed as a minimal and compelling solution to the strong CP problem. In this work, we critically examine the feasibility of this approach. We demonstrate that models in which the scalar field couples to fermionic currents only through derivatives do not yield a satisfactory axion. Moreover, we identify the necessary conditions for generating a gravitational axion through quantum effects, highlighting Weyl-invariant Einstein-Cartan gravity as a promising theoretical setting.",
Cross submissions,The Volume-Renormalized Mass from a Hamiltonian Perspective,"Mattias Dahl,Klaus Kroencke,Stephen McCormick",Differential Geometry (math.DG); General Relativity and Quantum Cosmology (gr-qc),"We demonstrate that the volume-renormalized mass for asymptotically hyperbolic manifolds recently introduced by the authors can be deduced from a reduced Hamiltonian perspective. In order to do this, we first use Michel's formalism of mass invariants to extend the definition of the volume-renormalized mass to initial data sets.We consider spacetimes that are foliated by asymptotically Poincaré--Einstein Riemannian manifolds in the spirit of the Milne model of cosmology and reduce the ADM Hamiltonian to an unconstrained Hamiltonian system, analogous to the work of Fischer and Moncrief for spatially compact spacetimes. We find that the reduced Hamiltonian in this case recovers the volume-renormalized mass. We then analyze the first and second variation of the reduced Hamiltonian and demonstrate that it is non-increasing over the evolution and constant only for self-similar spacetimes.",
Cross submissions,Progress in Einstein-Cartan gravity,Mikhail Shaposhnikov,High Energy Physics - Theory (hep-th); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Phenomenology (hep-ph),"It is well-known that the gravitational force can be obtained by gauging the Lorentz group, which puts gravity on the same footing as the Standard Model fields. The resulting theory - Einstein-Cartan gravity - has several crucial advantages. I will overview the construction of the Weyl-invariant version of this theory and discuss its applications in particle physics and cosmology, in particular for inflation and the strong CP problem.",
